sequenceID,-7.0,-6.75,-6.5,-6.25,-6.0,-5.75,-5.5,-5.25,-5.0,-4.75,-4.5,-4.25,-4.0,-3.75,-3.5,-3.25,-3.0,-2.75,-2.5,-2.25,-2.0,-1.75,-1.5,-1.25,-1.0,-0.75,-0.5,-0.25,0.0,0.25,0.5,0.75,1.0,1.25,1.5,1.75,2.0,2.25,2.5,2.75,3.0,3.25,3.5,3.75,4.0,4.25,4.5,4.75,5.0,5.25,5.5,5.75,6.0,6.25,6.5,6.75,7.0
273.17,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
273.6,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))"
275.1,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
275.2,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))"
294.1,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
30001.3,"((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (1, 0))","((3, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))"
30001.8,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))"
30011.11,"((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (1, 0))","((3, 0), (1, 0))","((3, 0), (1, 0))","((3, 0), (1, 0))","((3, 0), (1, 0))","((3, 0), (1, 0))","((3, 0), (1, 0))","((3, 0), (1, 0))","((3, 0), (1, 0))","((3, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))"
30011.13,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
30011.15,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))"
30011.2,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))"
30011.22,"((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((1, 0), (2, 0))","((0, 0), (2, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 2), (0, 1))","((0, 2), (0, 1))","((0, 2), (0, 1))","((0, 2), (0, 1))","((0, 2), (0, 1))","((0, 2), (0, 1))","((0, 2), (0, 1))","((0, 2), (0, 1))","((0, 2), (0, 1))","((0, 2), (0, 1))","((0, 2), (0, 1))","((0, 2), (0, 1))"
30011.7,"((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((1, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))"
30011.8,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 1), (1, 0))","((1, 1), (1, 0))","((1, 1), (1, 0))","((1, 1), (1, 0))","((1, 1), (0, 0))","((1, 1), (0, 0))","((1, 1), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((1, 1), (0, 0))","((1, 1), (0, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))"
30016.6,"((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((4, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 1), (3, 0))","((3, 1), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (2, 0))","((3, 1), (2, 0))","((3, 1), (1, 0))","((3, 1), (1, 0))","((3, 1), (1, 0))","((3, 1), (1, 0))","((3, 1), (1, 0))","((3, 1), (1, 0))","((3, 1), (1, 0))","((3, 1), (1, 0))","((3, 1), (1, 0))","((2, 1), (1, 0))","((2, 1), (1, 0))","((1, 1), (1, 0))","((1, 1), (1, 0))","((1, 1), (1, 1))","((1, 1), (0, 2))","((1, 1), (0, 2))","((1, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 2))","((0, 2), (0, 1))","((0, 2), (0, 1))","((0, 2), (0, 2))","((0, 3), (0, 1))","((0, 3), (0, 1))","((0, 3), (0, 1))","((0, 3), (0, 1))","((0, 3), (0, 1))","((0, 3), (0, 1))","((0, 3), (0, 1))","((0, 3), (0, 1))","((0, 3), (0, 1))","((0, 3), (0, 2))","((0, 3), (0, 2))","((0, 3), (0, 2))"
30020.4,"((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((1, 0), (2, 0))","((1, 0), (2, 0))","((1, 0), (2, 0))","((1, 0), (2, 0))","((1, 0), (2, 0))","((1, 0), (2, 0))","((1, 0), (2, 0))","((1, 0), (2, 0))","((0, 0), (2, 0))","((0, 0), (2, 0))","((0, 0), (2, 0))","((0, 0), (2, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 2), (1, 0))","((0, 2), (1, 0))","((0, 2), (1, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))"
30022.12,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))"
30022.17,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))"
